path	bytes	lines	class	audit_status	flags
demo/model-inference/backend-king-php/domain/retrieval/document_store.php	3530	111	source	low_signal_inventory_only	
demo/model-inference/backend-king-php/domain/retrieval/rag_orchestrator.php	8594	259	source	manual_audit_required	orchestrator
demo/model-inference/backend-king-php/domain/retrieval/retrieval_pipeline.php	1735	59	source	low_signal_inventory_only	
demo/model-inference/backend-king-php/domain/retrieval/text_chunker.php	5601	173	source	low_signal_inventory_only	
demo/model-inference/backend-king-php/domain/retrieval/vector_store.php	5535	162	source	low_signal_inventory_only	
demo/model-inference/backend-king-php/domain/routing/inference_routing.php	7040	207	source	low_signal_inventory_only	
demo/model-inference/backend-king-php/domain/telemetry/discovery_metrics.php	1924	61	source	low_signal_inventory_only	
demo/model-inference/backend-king-php/domain/telemetry/inference_metrics.php	7124	174	source	low_signal_inventory_only	
demo/model-inference/backend-king-php/domain/telemetry/rag_metrics.php	2018	63	source	low_signal_inventory_only	
demo/model-inference/backend-king-php/fixtures/demo-users.json	2403	36	config	low_signal_inventory_only	
demo/model-inference/backend-king-php/http/module_auth.php	8944	252	source	manual_audit_required	fallback
demo/model-inference/backend-king-php/http/module_conversations.php	6211	165	source	low_signal_inventory_only	
demo/model-inference/backend-king-php/http/module_discover.php	30048	737	source	low_signal_inventory_only	
demo/model-inference/backend-king-php/http/module_embed.php	3760	108	source	low_signal_inventory_only	
demo/model-inference/backend-king-php/http/module_inference.php	7989	218	source	low_signal_inventory_only	
demo/model-inference/backend-king-php/http/module_ingest.php	5101	163	source	low_signal_inventory_only	
demo/model-inference/backend-king-php/http/module_profile.php	944	34	source	low_signal_inventory_only	
demo/model-inference/backend-king-php/http/module_realtime.php	10651	277	source	manual_audit_required	keyframe_delta
demo/model-inference/backend-king-php/http/module_registry.php	7460	192	source	low_signal_inventory_only	
demo/model-inference/backend-king-php/http/module_retrieve.php	11594	322	source	manual_audit_required	orchestrator
demo/model-inference/backend-king-php/http/module_routing.php	2049	70	source	low_signal_inventory_only	
demo/model-inference/backend-king-php/http/module_runtime.php	1945	59	source	low_signal_inventory_only	
demo/model-inference/backend-king-php/http/module_telemetry.php	2869	88	source	low_signal_inventory_only	
demo/model-inference/backend-king-php/http/module_ui.php	2733	74	source	low_signal_inventory_only	
demo/model-inference/backend-king-php/http/router.php	8271	296	source	low_signal_inventory_only	
demo/model-inference/backend-king-php/public/chat.html	46004	1298	source	manual_audit_required	background,keyframe_delta
