path	bytes	lines	class	flags	audit_status
demo/video-chat/frontend-vue/src/domain/realtime/local/screenSharePublisher.js	28877	784	source	sfu,gossip,background,security,reconnect,backpressure,quality,capabilities,fallback,repair,keyframe_delta	manual_audit_required
demo/video-chat/backend-king-php/http/module_realtime_websocket_commands.php	30550	782	source	gossip,capabilities,fallback,repair	manual_audit_required
demo/video-chat/frontend-vue/src/domain/realtime/background/pipeline/compositorStage.js	28139	780	source	background,reconnect,fallback	manual_audit_required
demo/call-app/call-diagnostics/public/call-diagnostics.js	30367	748	other	sfu,reconnect,capabilities,fallback,keyframe_delta	manual_audit_required
demo/video-chat/frontend-vue/src/domain/calls/dashboard/enterCall.ts	26458	734	source	background,reconnect,fallback	manual_audit_required
demo/video-chat/frontend-vue/tests/e2e/call-app-whiteboard.spec.js	33687	734	test	background,reconnect,capabilities	manual_audit_required
demo/video-chat/frontend-vue/src/lib/sfu/framePayload.ts	36138	733	source	sfu,security,quality,fallback,repair,keyframe_delta	manual_audit_required
demo/call-app/presentation/public/presentation.js	37551	696	other	capabilities,fallback,keyframe_delta	manual_audit_required
demo/video-chat/frontend-vue/public/gossip-harness.html	27925	692	other	gossip,background,reconnect,fallback,keyframe_delta	manual_audit_required
demo/video-chat/frontend-vue/src/domain/realtime/workspace/callWorkspace/mediaStack.ts	34158	678	source	sfu,gossip,background,security,reconnect,backpressure,quality,capabilities,fallback,repair,keyframe_delta	manual_audit_required
demo/userland/flow-php/src/FailureTaxonomy.php	20720	671	source	security,reconnect,backpressure,orchestrator,repair	manual_audit_required
demo/video-chat/backend-king-php/tests/realtime-signaling-contract.php	36174	671	test	sfu,security,backpressure	manual_audit_required
demo/video-chat/frontend-vue/src/domain/realtime/background/stream.ts	24832	663	source	background,capabilities,fallback	manual_audit_required
demo/video-chat/frontend-vue/src/lib/sfu/inboundFrameAssembler.ts	22474	656	source	sfu,background,security,reconnect,fallback,keyframe_delta	manual_audit_required
demo/video-chat/backend-king-php/domain/infrastructure/infrastructure_inventory.php	24773	650	source	sfu,capabilities,orchestrator,fallback,keyframe_delta	manual_audit_required
demo/video-chat/frontend-vue/src/domain/realtime/sfu/remotePeers.ts	28337	646	source	sfu,quality,fallback,repair,keyframe_delta	manual_audit_required
demo/video-chat/frontend-vue/tests/e2e/online-sfu-pressure-acceptance.mjs	24411	638	test	sfu,security,backpressure,fallback,repair	manual_audit_required
demo/video-chat/backend-king-php/domain/realtime/realtime_presence.php	21481	617	source	gossip,capabilities,fallback	manual_audit_required
demo/video-chat/frontend-vue/src/domain/realtime/local/publisherSourceReadback.ts	24836	608	source	sfu,backpressure,capabilities,fallback	manual_audit_required
demo/video-chat/contracts/v1/ui-parity-acceptance.matrix.json	25952	607	contract	security,reconnect,repair	manual_audit_required
demo/video-chat/frontend-vue/src/domain/realtime/media/preferences.ts	22609	602	source	background,quality,fallback	manual_audit_required
demo/video-chat/backend-king-php/domain/realtime/realtime_sfu_subscriber_budget.php	23992	595	source	sfu,background,reconnect,backpressure,quality,fallback,repair,keyframe_delta	manual_audit_required
demo/call-app/planning-image/public/planning-image.js	20703	577	other	capabilities,fallback,keyframe_delta	manual_audit_required
demo/video-chat/backend-king-php/tests/media-capability-plan-contract.php	25556	554	test	security,reconnect,capabilities,fallback	manual_audit_required
demo/video-chat/frontend-vue/tests/contract/media-security-contract.mjs	46894	553	test	sfu,security,reconnect,capabilities,repair,keyframe_delta	manual_audit_required
demo/video-chat/frontend-vue/tests/contract/media-security-idempotent-sender-key-contract.mjs	20284	534	test	security,capabilities,repair,keyframe_delta	manual_audit_required
demo/video-chat/frontend-vue/src/domain/calls/dashboard/UserDashboardView.vue	13957	533	source	background,reconnect,fallback	manual_audit_required
demo/video-chat/frontend-vue/src/domain/realtime/workspace/callWorkspace/lifecycle.ts	16592	527	source	gossip,background,security,reconnect,quality,capabilities,repair,keyframe_delta	manual_audit_required
demo/video-chat/frontend-vue/src/domain/realtime/workspace/callWorkspace/runtimeSwitching.ts	20400	527	source	sfu,backpressure,quality,capabilities,fallback,repair,keyframe_delta	manual_audit_required
demo/video-chat/backend-king-php/domain/realtime/realtime_sfu_broker_replay.php	16423	527	source	sfu,keyframe_delta	manual_audit_required
demo/video-chat/frontend-vue/src/domain/realtime/sfu/remoteBrowserEncodedVideo.ts	21477	524	source	sfu,backpressure,fallback,repair,keyframe_delta	manual_audit_required
demo/video-chat/frontend-vue/tests/e2e/helpers/nativeAudioTransferHarness.js	21595	492	test	sfu,security,backpressure,quality,fallback	manual_audit_required
